Kd_Prov;Provinsi;Jumlah_TPA;Luas_Total_TPA;Cakupan_Layanan;Kapasitas_TPA;Kapasitas 2
11;Aceh;15;85.8;286076;176639415;65356583.55
12;North Sumatera;5;25.17;340479.6;1108894.8;410291.08
13;West Sumatera;7;62.9;139040;177947.4;65840.54
14;Riau;1;4.6;26000;677440;250652.8
15;Jambi;9;35.91;327004;697881.55;258216.17
16;South Sumatera;6;32.01;76625;91961.64;34025.81
17;Bengkulu;9;12.05;1311571;630923.2;233441.58
18;Lampung;6;21.57;25500;1784850;660394.5
19;Bangka Belitung Island;7;50.16;112995;205151.95;75906.22
21;Riau Island;3;11.4;33520;130000;48100
32;West Java;11;203.14;1058883;2750025.85;1017509.56
33;Central Java;15;31.32;641013;740535.6;273998.17
34;DI Yogyakarta;3;18;589208;1124350;416009.5
35;East Java;21;133.75;1295570;1873841.9;693321.5
36;Banten;6;93.4;454949;1062908;393275.96
51;Bali;3;38.19;449291;2116088;782952.56
52;West Nusa Tenggara;5;22.5;45200;343431;127069.47
53;East Nusa Tenggara;8;16.18;364600;603694.69;223367.04
61;West Kalimantan;6;8.11;160614;141400;52318
62;Central Kalimantan;12;132.99;310446.8;763281.8;282414.27
63;Shouth Kalimantan;13;139.5;301073;951285;351975.45
64;East Kalimantan;4;75;323166;1252156;463297.72
65;North Kalimantan;4;33.89;141200;2661740;984843.8
71;North Sulawesi;13;79.26;341883;1588271;587660.27
72;Central Sulawesi;6;65.96;173157;604042;223495.54
73;South Sulawesi;15;42.3;197590;1128329.45;417481.9
74;Shouteast Sulawesi;14;83.7;577066;750076.52;277528.31
75;Gorontalo;4;19.28;38763;223518.6;82701.88
76;West Sulawesi;5;19.55;129031;35076.48;12978.3
81;Maluku;12;15.21;330290;2066581;764634.97
82;North Maluku;11;47.9;76075.59;398201;147334.37
91;Papua;7;67;127600;127282;47094.34
92;West Papua;5;45;29779;107198.2;39663.33
31;DKI Jakarta;;;;455829150;168656785.5
